label,pixel43,pixel44,pixel92,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel327,pixel328,pixel329,pixel351,pixel410,pixel411,pixel412,pixel413,pixel414,pixel415,pixel416,pixel417
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,242,29,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,131,42,0,0,0,0,0,0,0,0,182,254,254,254,234,232,143,7,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,94,2,0,254,233,78,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,252,252,252,252,252,252,252,245
1,0,0,0,67,193,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,254,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,254,254,218,191,22,0,0,0,0,24,0,0,174,0,0,0,0,0,0,0,0
1,0,0,0,0,0,43,253,200,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,252,252,84,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,72,253,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,252,102,0,0,0,0,0,253,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,232,29,0,0,0,254,237,115,11,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,117,236,232,117,74,0,0,0,0,0,0,214,129,0,0,0,0,0,0,0
1,0,0,0,0,197,254,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,253,225,36,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,11,0,0,0,0,0,0,0,0,0,202,252,95,0,0,248,252,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,195,255,237,0,0,21,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,121,238,253,244,127,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,116,254,253,218,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,142,227,255,254,254,254,238,143,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,179,5,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,39,0,183,2,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,254,254,254,254,168,10,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,131,131,40,7,7,7,7,7,1,0,0,0,0,0,0,0,0,20,209,254,254,254,254,254,254,254,254,254,254,98,68,31,0,254,105,245,254,254,18,0,0,0
1,0,0,0,0,0,111,255,147,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,253,252,44,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,69,0,0,0,0,0,0,0
0,0,0,0,0,0,89,255,254,151,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,191,253,253,253,167,76,0,0,36,253,0,0,0,36,253,253,156,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,115,128,128,102,37,6,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,43,166,253,156,148,148,43,43,43,14,0,0,0,0,68,0,0,252,253,252,152,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,63,231,62,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,186,137,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0
1,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,114,0,251,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,40,40,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,38,179,253,250,90,0,0
6,0,0,0,0,64,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,255,255,255,191,64,0,0,0,0,0,0,0,255,255,255,255,191,0,0,0
3,0,0,0,255,253,253,203,76,0,0,0,0,0,0,0,0,0,0,0,0,7,82,234,252,253,252,252,252,231,19,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,255,249,0,0,0,0,0,0,0,0,0,0,253,188,0,0,253,220,21,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,113,183,174,253,193,37,0,0,0,0,0,0,0,0,252,18,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,255,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,255,255,128,0,0,0,0,0,255,0,0,0,0,0,0,0,0
0,0,0,0,0,95,254,198,167,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,203,254,255,254,165,9,0,0,71,0,0,0,0,220,44,0,0,0,0,0
3,0,0,0,0,0,7,88,156,253,161,35,2,0,0,0,0,0,0,0,0,0,0,0,0,12,88,206,252,252,252,252,252,36,58,5,0,187,32,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,7,150,252,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,252,252,103,0,0,0,170,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,253,204,0,254,172,14,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,131,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,203,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,128,0,0,255,255,128,0,0,0,0,0
1,0,0,0,0,0,0,0,0,255,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,255,128,0,0,0,0,0,255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,83,254,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,208,253,162,0,0,0,253,173,149,208,207,212,77,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,233,253,255,159,55,138,191,128,252,188,0,163,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,187,0,31,89,0,0,0,0,0,0,0
2,0,0,0,254,255,176,129,5,0,0,0,0,0,0,0,0,0,0,0,0,0,54,237,254,254,254,254,254,223,104,0,0,0,40,0,0,0,16,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,228,37,131,143,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,108,187,187,174,150,65,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,149,0,0,245,254,119,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,192,0,0,0,0,0,0,0,0,0,0,0,0,0,178,254,254,0,166,13,0,90,254,212,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,86,170,170,255,57,0,0,0,0,0,0,0,255,29,255,226,29,0,0,0,0
6,0,0,0,0,0,4,22,128,246,252,250,117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,139,252,252,236,145,70,0,0,0,0,0,252,253,252,127,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,195,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,8,204,253,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,253,240,181,0,0,0,0,0,0,0,0,0,225,26,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,197,0,0,112,239,245,51,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,123,8,253,230,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,244,210,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0
2,0,0,0,253,255,253,253,153,63,0,0,0,0,0,0,0,0,0,13,57,194,253,252,252,252,253,252,252,252,207,82,0,0,97,252,113,0,252,252,139,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,168,254,248,77,0,0
5,0,0,0,234,152,152,233,254,253,254,253,254,253,82,0,0,0,0,0,0,0,0,152,252,253,252,253,252,253,252,253,252,253,0,0,0,253,254,253,254,71,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,254,159,0,253,142,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,254,243,0,254,239,91,0,14,76,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,103,225,255,233,253,253,0,247,98,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,96,143,186,253,181,143,252,210,69,0,89,12,0,0,0,0,0,0
8,0,0,0,0,0,0,0,36,138,180,253,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,178,252,235,248,116,16,0,0,62,0,0,0,0,0,0,0,0
5,0,0,0,150,195,254,255,152,73,22,0,0,0,0,0,0,0,0,0,0,31,105,236,253,253,253,196,235,253,253,119,0,0,0,0,0,253,242,253,129,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,222,253,253,139,118,24,15,0,0,238,253,252,0,93,252,253,252,130,0,0,0
6,0,0,0,0,0,0,26,207,253,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,253,211,7,0,0,0,0,0,0,253,253,253,127,0,0,0,0
0,0,0,0,91,91,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,184,253,253,251,117,139,180,48,8,0,253,253,253,0,0,131,253,253,253,253,0,0
0,0,0,0,0,0,0,160,254,250,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,228,254,254,199,5,0,254,193,0,0,105,254,125,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,111,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,34,82,144,144,144,134,34,34,0,0,1,0,0,0,39,118,253,220,81,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,254,254,36,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,252,252,0,252,253,176,52,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,76,0,0,0,0,0,0,0,0
1,0,0,0,0,242,255,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,253,228,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,179,246,187,187,174,200,177,209,0,0,0,0,0,254,136,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,253,9,24,80,254,204,5,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,148,0,252,252,252,146,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,254,203,0,0,254,171,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,51,172,149,0,0,250,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,145,252,252,252,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,211,247,223,252,225,47,0,0,0,132,252,60,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,15,176,4,0,0,0,0,0,0
6,0,0,0,0,5,160,253,253,253,192,177,197,119,0,0,0,0,0,0,0,0,0,0,0,2,160,253,251,183,32,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,254,244,41,0,0,0,0,0
0,0,0,0,0,0,0,0,43,153,214,232,119,15,0,0,0,0,0,0,0,0,0,0,0,0,0,102,210,245,253,253,253,254,0,0,0,0,0,0,0,8,241,248,26,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,64,0,0,0,0,0,0,0,0,0,0,0,128,0,255,255,0,191,255,255,128,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,105,184,254,254,254,0,0,0,0,0,0,36,192,191,251,253,253,192,68,33,122,7,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,128,191,191,255,255,255,255,128
6,0,0,0,0,0,92,208,255,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,235,253,253,155,0,0,0,0,0,0,253,239,13,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,254,255,99,0,25,0,0,253,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,170,255,198,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,226,114,170,226,0,0,0,0,29,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0
3,0,0,0,226,255,226,141,29,0,0,0,0,0,0,0,0,0,0,0,0,86,226,255,255,170,114,170,255,198,29,0,0,0,0,0,0,255,255,141,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,205,0,0,252,252,93,0,0,0,0,0
3,0,0,0,191,200,174,99,13,0,0,0,0,0,0,0,0,0,0,0,59,221,231,173,140,69,136,149,233,252,123,6,0,0,254,86,0,0,179,0,0,0,0,0,0,0
1,0,0,0,0,198,225,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,223,254,226,36,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33,182,155,17,254,254,254,0,80,173,216,254,254,206,85,0
3,0,0,0,197,253,255,253,90,0,0,0,0,0,0,0,0,0,0,0,0,0,51,242,252,252,252,253,252,247,37,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,195,19,0,126,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,113,47,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,255,29,0,255,141,0,0,0,0,0,0
0,0,0,0,0,0,0,8,157,253,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,252,252,189,0,0,252,250,58,0,0,212,255,204,9,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,108,0,147,248,230,230,97,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,253,135,38,254,245,48,0,0,0,0
3,0,0,0,166,255,163,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,252,240,234,254,234,40,0,0,0,0,116,0,0,0,64,254,161,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
